"Media_2.1_tmm"	"Media_2.2_tmm"	"Media_3.2_tmm"	"Exo_2.1_tmm"	"Exo_2.2_tmm"	"Exo_3.1_tmm"	"Exo_3.2_tmm"	"logFC"	"FC"	"PValue"	"FDR"	"ave_med"	"ave_exo"	"direction"	"candidate"	"Acc"
3368441.67391921	3024217.72964033	3549655.79950068	4096808.00538825	4244799.91587427	4675091.32183156	4926045.50411276	0.436709876320035	1.35351357159378	0.000303946901470749	0.0013491880300789	3314105.06768674	4485686.18680171	"up"	"high"	"sp|P60710|ACTB_MOUSE_family"
4947045.80041403	5003598.51284683	5760710.85087443	7375533.16052641	7340495.58728436	8322252.25541719	8495867.9621972	0.590070167587063	1.50531965428779	7.59153922883995e-07	6.98253220013079e-06	5237118.3880451	7883537.24135629	"up"	"high"	"sp|Q8VDD5|MYH9_MOUSE_family"
869172.61579042	863222.391073755	1048878.54583351	1168979.81848574	1206257.39664997	1889413.58102117	2008571.37303878	0.758424513812334	1.69164109094311	0.000879092892299272	0.00334431669119356	927091.184232563	1568305.54229891	"up"	"high"	"sp|P68134|ACTS_MOUSE"
5884076.12181266	5785474.68335814	6652110.4802733	6774659.02808746	6308658.49942675	8687533.61955642	8611277.14933614	0.314635395847916	1.24369705712266	0.038629097089234	0.0815521370878356	6107220.42848137	7595532.07410169	"up"	"low"	"sp|P17182|ENOA_MOUSE_family"
4780244.71242796	4820828.387573	5825930.35842517	7205432.27945531	6958486.63845902	8758911.92347445	8428680.208677	0.608039921487663	1.52418668673509	1.14886351133993e-05	7.82044436720588e-05	5142334.48614204	7837877.76251645	"up"	"high"	"sp|P52480|KPYM_MOUSE"
4953541.4299988	4853469.80660977	5052308.92399322	6779561.75827347	7025872.21271858	7300663.14845006	6898730.73834601	0.499270002119684	1.41349810531914	4.73730158175245e-07	4.55073603683401e-06	4953106.7202006	7001206.96444703	"up"	"high"	"sp|Q8BTM8|FLNA_MOUSE"
2746518.32583715	2862471.56577855	3246741.25649608	3685051.69950852	3916106.96095704	4835341.35605252	5422351.14554683	0.596918865408026	1.51248249834285	0.00026407234967376	0.00119023914128318	2951910.38270393	4464712.79051623	"up"	"high"	"sp|P05064|ALDOA_MOUSE_family"
365215.381789132	401889.237425346	498932.566846838	498616.666918406	490383.221887978	685648.750649616	718096.694760395	0.503312479472441	1.41746152515886	0.00986348940133976	0.0262323480818101	422012.395353772	598186.333554099	"up"	"med"	"sp|P16858|G3P_MOUSE_family"
2003078.31914455	1978717.90877854	2576178.76266345	2800805.11783316	2826842.32205181	3313496.75867951	3416822.38474727	0.499082340293232	1.41331355346551	0.000668695001746781	0.00264501297988234	2185991.66352884	3089491.64582794	"up"	"high"	"sp|Q9QXS1|PLEC_MOUSE"
170528.046450528	174575.460244045	225537.710265473	221079.294273779	216629.04984673	293601.094446008	296852.206803487	0.434380953757302	1.35132410893042	0.0187593778757691	0.0451823157356375	190213.738986682	257040.411342501	"up"	"med"	"tr|S4R1W1|S4R1W1_MOUSE"
